,Movie Name,Rating
0,The Shawshank Redemption,9.2
1,The Godfather,9.2
2,The Dark Knight,9.0
3,The Godfather: Part II,9.0
4,12 Angry Men,8.9
5,Schindler's List,8.9
6,The Lord of the Rings: The Return of the King,8.9
7,Pulp Fiction,8.9
8,The Lord of the Rings: The Fellowship of the Ring,8.8
9,"Il buono, il brutto, il cattivo",8.8
10,Forrest Gump,8.8
11,Fight Club,8.8
12,Inception,8.7
13,The Lord of the Rings: The Two Towers,8.7
14,The Empire Strikes Back,8.7
15,The Matrix,8.7
16,Goodfellas,8.7
17,One Flew Over the Cuckoo's Nest,8.6
18,Se7en,8.6
19,Shichinin no samurai,8.6
20,It's a Wonderful Life,8.6
21,The Silence of the Lambs,8.6
22,Cidade de Deus,8.6
23,Saving Private Ryan,8.6
24,La vita è bella,8.6
25,The Green Mile,8.6
26,Star Wars,8.6
27,Interstellar,8.6
28,Terminator 2: Judgment Day,8.5
29,Back to the Future,8.5
30,Sen to Chihiro no kamikakushi,8.5
31,Psycho,8.5
32,The Pianist,8.5
33,Léon,8.5
34,Gisaengchung,8.5
35,The Lion King,8.5
36,Gladiator,8.5
37,American History X,8.5
38,The Usual Suspects,8.5
39,The Departed,8.5
40,The Prestige,8.5
41,Casablanca,8.5
42,Whiplash,8.5
43,The Intouchables,8.5
44,Modern Times,8.5
45,Seppuku,8.4
46,Once Upon a Time in the West,8.4
47,Hotaru no haka,8.4
48,Rear Window,8.4
49,Alien,8.4
50,City Lights,8.4
51,Nuovo Cinema Paradiso,8.4
52,Memento,8.4
53,Apocalypse Now,8.4
54,Raiders of the Lost Ark,8.4
55,Django Unchained,8.4
56,WALL·E,8.4
57,The Lives of Others,8.4
58,Sunset Blvd.,8.4
59,Paths of Glory,8.4
60,The Shining,8.4
61,The Great Dictator,8.4
62,Witness for the Prosecution,8.4
63,Avengers: Infinity War,8.4
64,Everything Everywhere All at Once,8.4
65,Aliens,8.3
66,American Beauty,8.3
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3
68,The Dark Knight Rises,8.3
69,Spider-Man: Into the Spider-Verse,8.3
70,Joker,8.3
71,Oldeuboi,8.3
72,Braveheart,8.3
73,Amadeus,8.3
74,Toy Story,8.3
75,Coco,8.3
76,Das Boot,8.3
77,Inglourious Basterds,8.3
78,Mononoke-hime,8.3
79,Once Upon a Time in America,8.3
80,Avengers: Endgame,8.3
81,Good Will Hunting,8.3
82,Requiem for a Dream,8.3
83,Toy Story 3,8.3
84,Singin' in the Rain,8.3
85,Kimi no na wa.,8.3
86,3 Idiots,8.3
87,Star Wars: Episode VI - Return of the Jedi,8.3
88,2001: A Space Odyssey,8.3
89,Reservoir Dogs,8.3
90,Eternal Sunshine of the Spotless Mind,8.3
91,Tengoku to jigoku,8.3
92,Citizen Kane,8.3
93,Capharnaüm,8.3
94,Lawrence of Arabia,8.3
95,Jagten,8.3
96,M - Eine Stadt sucht einen Mörder,8.3
97,North by Northwest,8.3
98,Vertigo,8.2
99,Le fabuleux destin d'Amélie Poulain,8.2
100,A Clockwork Orange,8.2
101,Idi i smotri,8.2
102,Full Metal Jacket,8.2
103,Double Indemnity,8.2
104,The Apartment,8.2
105,Scarface,8.2
106,Spider-Man: No Way Home,8.2
107,To Kill a Mockingbird,8.2
108,Ikiru,8.2
109,Taxi Driver,8.2
110,The Sting,8.2
111,L.A. Confidential,8.2
112,Hamilton,8.2
113,Up,8.2
114,Heat,8.2
115,Metropolis,8.2
116,Snatch,8.2
117,Jodaeiye Nader az Simin,8.2
118,Die Hard,8.2
119,Incendies,8.2
120,Indiana Jones and the Last Crusade,8.2
121,Ladri di biciclette,8.2
122,1917,8.2
123,Taare Zameen Par,8.2
124,Der Untergang,8.2
125,Per qualche dollaro in più,8.2
126,Batman Begins,8.2
127,Dangal,8.2
128,The Kid,8.2
129,Some Like It Hot,8.2
130,The Father,8.2
131,All About Eve,8.2
132,Green Book,8.2
133,The Wolf of Wall Street,8.2
134,Judgment at Nuremberg,8.2
135,Unforgiven,8.2
136,Pan's Labyrinth,8.2
137,Casino,8.2
138,Ran,8.2
139,There Will Be Blood,8.2
140,The Sixth Sense,8.2
141,A Beautiful Mind,8.2
142,Monty Python and the Holy Grail,8.2
143,The Truman Show,8.2
144,Yôjinbô,8.1
145,The Treasure of the Sierra Madre,8.1
146,Rashômon,8.1
147,The Great Escape,8.1
148,Shutter Island,8.1
149,Kill Bill: Vol. 1,8.1
150,Jurassic Park,8.1
151,No Country for Old Men,8.1
152,The Elephant Man,8.1
153,Finding Nemo,8.1
154,Raging Bull,8.1
155,Chinatown,8.1
156,Gone with the Wind,8.1
157,V for Vendetta,8.1
158,Inside Out,8.1
159,"Lock, Stock and Two Smoking Barrels",8.1
160,The Thing,8.1
161,Dial M for Murder,8.1
162,El secreto de sus ojos,8.1
163,The Bridge on the River Kwai,8.1
164,Hauru no ugoku shiro,8.1
165,"Three Billboards Outside Ebbing, Missouri",8.1
166,Trainspotting,8.1
167,Gran Torino,8.1
168,Warrior,8.1
169,Fargo,8.1
170,Tonari no Totoro,8.1
171,Prisoners,8.1
172,Million Dollar Baby,8.1
173,The Gold Rush,8.1
174,Blade Runner,8.1
175,Catch Me If You Can,8.1
176,On the Waterfront,8.1
177,The Third Man,8.1
178,Bacheha-Ye aseman,8.1
179,Ben-Hur,8.1
180,The General,8.1
181,12 Years a Slave,8.1
182,Gone Girl,8.1
183,Smultronstället,8.1
184,The Deer Hunter,8.1
185,Before Sunrise,8.1
186,Harry Potter and the Deathly Hallows: Part 2,8.1
187,In the Name of the Father,8.1
188,The Grand Budapest Hotel,8.1
189,Mr. Smith Goes to Washington,8.1
190,Le salaire de la peur,8.1
191,Sherlock Jr.,8.1
192,Barry Lyndon,8.1
193,Room,8.1
194,Salinui chueok,8.1
195,Det sjunde inseglet,8.1
196,Hacksaw Ridge,8.1
197,Klaus,8.1
198,Relatos salvajes,8.1
199,The Big Lebowski,8.1
200,How to Train Your Dragon,8.1
201,Mad Max: Fury Road,8.1
202,Mary and Max.,8.1
203,"Monsters, Inc.",8.1
204,Jaws,8.1
205,La passion de Jeanne d'Arc,8.1
